Symbol,EngName,ChtName,PrevClose,Exchange,Currency,LotSize
00232,AVIC INT'L,дд░ъпшк┼дu╖~░ъ╗┌,0.81,SEHK,HKD,2000
00233,MY MEDICARE,╗╩╖╜┬х└°,0.23,SEHK,HKD,10000
00234,NEW CENTURY GP,╖sе@мЎ╢░╣╬,0.138,SEHK,HKD,8000
00235,CHINA STRATEGIC,дд╡ж╢░╣╬,0.196,SEHK,HKD,5000
00236,SAN MIGUEL HK,н╗┤фе═дO░р,1.22,SEHK,HKD,2000
00237,SAFETY GODOWN,жwе■│fн▄,13.08,SEHK,HKD,2000
00238,EVERGREEN INT,к°┐│░ъ╗┌,0.9,SEHK,HKD,1000
00239,PAK FAH YEOW,е╒кскo,3.79,SEHK,HKD,2500
00240,BUILD KING HOLD,зQ░Є▒▒к╤,0.37,SEHK,HKD,10000
00241,ALI HEALTH,к№и╜░╖▒d,5.03,SEHK,HKD,2000
00242,SHUN TAK HOLD,лH╝w╢░╣╬,3.45,SEHK,HKD,2000
00243,QPL INT'L,QPL INT'L,0.215,SEHK,HKD,1000
00244,SINCERE,е¤мI,0.45,SEHK,HKD,1000
00245,CHINA SEVENSTAR,дд░ъдCмP▒▒к╤,1.88,SEHK,HKD,40000
00246,REALGOLD MINING,╖чкў─q╖~,8.81,SEHK,HKD,500
00247,TST PROPERTIES,TST PROPERTIES,22.6,SEHK,HKD,2000
00248,HKC INT'L HOLD,н╗┤ф│q░T░ъ╗┌▒▒к╤,0.304,SEHK,HKD,4000
00250,SINO-I TECH,дд░ъ╝╞╜XлHоз,0.09,SEHK,HKD,10000
00251,SEA HOLDINGS,дЎлz▒▒к╤,6.5,SEHK,HKD,2000
00252,SE ASIA PPT,╡╪лHжa▓г░]░╚,2.92,SEHK,HKD,2000
00253,SHUN HO RES,╢╢╗и╕ъ╖╜╢░╣╬,2.32,SEHK,HKD,2000
00254,NUR HOLDINGS,░ъоa┴pжX╕ъ╖╜,0.222,SEHK,HKD,10000
00255,LUNG KEE,└s░O╢░╣╬,2.09,SEHK,HKD,2000
00256,CITYCHAMP,лaл░─┴┐Ўп]─_,1.15,SEHK,HKD,2000
00257,CHINA EB INT'L,дд░ъе·дj░ъ╗┌,9.32,SEHK,HKD,1000
00258,TOMSON GROUP,┤Ўж┌╢░╣╬,1.6,SEHK,HKD,2000
00259,YEEBO (INT'L H),╗ї│гб]░ъ╗┌▒▒к╤б^,1.39,SEHK,HKD,2000
00260,AVIC JOY HLDG,йп║╓▒▒к╤,0.28,SEHK,HKD,10000
00261,CCT LAND,ддл╪╕mжa,0.018,SEHK,HKD,80000
00262,DESON DEV INT'L,н}ж┌╡oоi░ъ╗┌,0.5,SEHK,HKD,5000
00263,GT GROUP HLDG,░к┤I╢░╣╬▒▒к╤,1.17,SEHK,HKD,4000
00264,CHANCO INT'L,иЇ░к░ъ╗┌,1.37,SEHK,HKD,4000
00265,ORIENT VICTORY,кF│╙дд░ъ,1.73,SEHK,HKD,5000
00266,TIAN TECK LAND,д╤╝wжa▓г,8.36,SEHK,HKD,2000
00267,CITIC,ддлHк╤еў,13.92,SEHK,HKD,1000
00268,KINGDEE INT'L,кў╜║░ъ╗┌,2.67,SEHK,HKD,2000
00269,CRTG,дд░ъ╕ъ╖╜ец│q,0.06,SEHK,HKD,100000
00270,GUANGDONG INV,╕fо№зы╕ъ,9.73,SEHK,HKD,2000
00271,DAN FORM HOLD,дж╖м▒▒к╤,1.18,SEHK,HKD,1000
00272,SHUI ON LAND,╖чжwй╨жa▓г,1.52,SEHK,HKD,500
00273,MASON FIN,е┴лHкў▒▒,0.18,SEHK,HKD,20000
00274,C BILLION RES,дд┤I╕ъ╖╜,0.087,SEHK,HKD,2000
00275,HANNY HOLDINGS,└A┐│╢░╣╬,0.119,SEHK,HKD,10000
00276,MONGOLIA ENERGY,╗Xеjпр╖╜,0.243,SEHK,HKD,3000
00277,TERN PROPERTIES,д╙┐│╕m╖~,5.455,SEHK,HKD,2000
00278,WAH HA REALTY,╡╪╖H╕m╖~,7.21,SEHK,HKD,2000
00279,FREEMAN FIN,е┴▓│кўкA,0.315,SEHK,HKD,20000
00280,KING FOOK HOLD,┤║║╓╢░╣╬,0.56,SEHK,HKD,2000
00281,RIVERA (HOLD),дtкe╢░╣╬,0.355,SEHK,HKD,2000
00282,NEXT MEDIA,│№╢╟┤C,0.61,SEHK,HKD,2000
00283,GOLDIN PPT,░к╗╚жa▓г,6.2,SEHK,HKD,2000
00285,BYD ELECTRONIC,дёи╚н}╣qдl,4.6,SEHK,HKD,500
00286,CS HEALTH,жPи╬░╖▒d,0.7,SEHK,HKD,2000
00287,WINFAIR INV,е├╡o╕m╖~,9.9,SEHK,HKD,2000
00288,WH GROUP,╕Uмw░ъ╗┌,4.03,SEHK,HKD,500
00289,WING ON CO,WING ON CO,23.7,SEHK,HKD,1000
00290,C FORTUNE FIN,дд░ъ┤I▒jкў┐─,0.125,SEHK,HKD,2000
00291,CHINA RESOURCES,╡╪╝э│╨╖~,22.85,SEHK,HKD,2000
00292,ASIA STD HOTEL,кxо№░sй▒,1.01,SEHK,HKD,10000
00293,CATHAY PAC AIR,░ъоїпшк┼,14.02,SEHK,HKD,1000
00294,YANGTZEKIANG,к°ж┐╗sжч,2.47,SEHK,HKD,1000
00295,KONG SUN HOLD,ж┐дs▒▒к╤,0.7,SEHK,HKD,25000
00296,EMPEROR E HOTEL,н^м╙оT╝╓░sй▒,1.41,SEHK,HKD,5000
00297,SINOFERT,ддд╞д╞к╬,1.09,SEHK,HKD,2000
00298,CHUANG'S CHINA,▓°дhдд░ъ,0.485,SEHK,HKD,10000
00299,SINOCOM SOFT,дд░T│nеє,1.63,SEHK,HKD,2000
00300,KUNMING MACHINE,й°й·╛ўз╔,3.52,SEHK,HKD,2000
00303,VTECH HOLDINGS,VTECH HOLDINGS,87.3,SEHK,HKD,100
00305,WULING MOTORS,дн╡┘иTио,0.46,SEHK,HKD,10000
00306,KWOON CHUNG BUS,лaй╛д┌дh╢░╣╬,3.69,SEHK,HKD,2000
00307,UP ENERGY DEV,└uмгпр╖╜╡oоi,0.285,SEHK,HKD,2000
00308,CHINA TRAVEL HK,н╗┤фддо╚,2.65,SEHK,HKD,2000
00309,XH NEWS MEDIA,╖s╡╪│q░T└W┤C,0.217,SEHK,HKD,1000
00310,PROSP INV HOLD,╣┼╢iзы╕ъ░ъ╗┌,0.136,SEHK,HKD,15000
00311,LUEN THAI,┴pої▒▒к╤,1.17,SEHK,HKD,1000
00312,SHIRBLE STORE,╖│─_ж╩│f,0.55,SEHK,HKD,2000
00313,RICHLY FIELD,╕╬е╨дд░ъ,0.1,SEHK,HKD,50000
00315,SMARTONE TELE,╝╞╜X│q╣q░T,12.66,SEHK,HKD,500
00316,OOIL,кFдшо№е~░ъ╗┌,38.1,SEHK,HKD,500
00317,COMEC,дд▓юи╛░╚,17.86,SEHK,HKD,2000
00318,VONGROUP,╢└кe╣ъ╖~,0.065,SEHK,HKD,5000
00319,CHINA METAL,╢╘м№╣F░ъ╗┌,2.2,SEHK,HKD,2000
00320,COMPUTIME,кў─_│q,0.83,SEHK,HKD,2000
00321,TEXWINCA HOLD,╝wе├и╬╢░╣╬,7.26,SEHK,HKD,2000
00322,TINGYI,▒dоv│┼▒▒к╤,11.44,SEHK,HKD,2000
00323,MAANSHAN IRON,░и╛bдs┐√┼Kк╤еў,1.66,SEHK,HKD,2000
00326,CHINA STAR ENT,дд░ъмP╢░╣╬,0.053,SEHK,HKD,50000
00327,PAX GLOBAL,ж╩┤I└Ї▓y,7.36,SEHK,HKD,1000
00328,ALCO HOLDINGS,ALCO HOLDINGS,2.11,SEHK,HKD,2000
00329,DRAGONITE INT'L,·т└s░ъ╗┌,0.8,SEHK,HKD,4000
00330,ESPRIT HOLDINGS,лф▒╢└Ї▓y,6.13,SEHK,HKD,100
00332,YUANHENG GAS,д╕жы┐UоЁ,0.68,SEHK,HKD,4000
00333,TOP FORM INT'L,┬L─R┤╡░ъ╗┌,1.97,SEHK,HKD,2000
00334,TCL DISPLAY,втв╤в┌┼уе▄мьз▐,1.2,SEHK,HKD,8000
